subject,trial,tStart_expected,tEnd_expected,phaseStart_expected,tStart_realized,tEnd_realized,phaseStart_realized,roboRT_expected,exitFlag,correct,rt_given,response_given,phaseType,orientation_left,contrast_left,orientation_right,contrast_right,answer,roboResponse_expected,luminance_difference
1,15,126,135,129,NaN,NaN,NaN,0.2,,NaN,NaN,,0,60,0.8,80,0.8,NO RESPONSE,,NaN
1,15,126,135,129.7,NaN,NaN,NaN,0.2,,NaN,NaN,,1,60,0.8,80,0.8,DownArrow,\DOWN,NaN
1,15,126,135,130.1,NaN,NaN,NaN,0.2,,NaN,NaN,,0,60,0.8,80,0.8,NO RESPONSE,,NaN
1,16,135,144,135,NaN,NaN,NaN,0.2,,NaN,NaN,,0,140,0.8,160,0.8,NO RESPONSE,,NaN
1,16,135,144,135.6,NaN,NaN,NaN,0.2,,NaN,NaN,,1,140,0.8,160,0.8,DownArrow,\DOWN,NaN
1,16,135,144,136,NaN,NaN,NaN,0.2,,NaN,NaN,,0,140,0.8,160,0.8,NO RESPONSE,,NaN
1,16,135,144,136.9,NaN,NaN,NaN,0.2,,NaN,NaN,,1,140,0.8,160,0.8,DownArrow,\DOWN,NaN
1,16,135,144,137.3,NaN,NaN,NaN,0.2,,NaN,NaN,,0,140,0.8,160,0.8,NO RESPONSE,,NaN
1,17,144,153,144,NaN,NaN,NaN,0.2,,NaN,NaN,,0,100,0.8,140,0.8,NO RESPONSE,,NaN
1,17,144,153,145.6,NaN,NaN,NaN,0.2,,NaN,NaN,,1,100,0.8,140,0.8,DownArrow,\DOWN,NaN
1,17,144,153,146,NaN,NaN,NaN,0.2,,NaN,NaN,,0,100,0.8,140,0.8,NO RESPONSE,,NaN
1,17,144,153,146.7,NaN,NaN,NaN,0.2,,NaN,NaN,,1,100,0.8,140,0.8,DownArrow,\DOWN,NaN
1,17,144,153,147.1,NaN,NaN,NaN,0.2,,NaN,NaN,,0,100,0.8,140,0.8,NO RESPONSE,,NaN
1,18,153,162,153,NaN,NaN,NaN,0.2,,NaN,NaN,,0,40,0.8,40,0.2,NO RESPONSE,,NaN
1,18,153,162,154.5,NaN,NaN,NaN,0.2,,NaN,NaN,,1,40,0.8,40,0.2,DownArrow,\DOWN,NaN
1,18,153,162,154.9,NaN,NaN,NaN,0.2,,NaN,NaN,,0,40,0.8,40,0.2,NO RESPONSE,,NaN
1,18,153,162,155.8,NaN,NaN,NaN,0.2,,NaN,NaN,,1,40,0.8,40,0.2,DownArrow,\DOWN,NaN
1,18,153,162,156.2,NaN,NaN,NaN,0.2,,NaN,NaN,,0,40,0.8,40,0.2,NO RESPONSE,,NaN
