trial_type	side	run	subject	filename	onset_expected	duration_expected	orientation	contrast	trial	iti_expected	trial_start	trial_end	exitflag	response	rt	correct	onset	duration
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	309	5	135	0.8	39	3.6999999999999886	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	317.7	5	150	0.8	40	3.3000000000000114	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	326	5	135	0.8	41	3.6999999999999886	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	334.7	5	105	0.8	42	3.400000000000034	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	343.1	5	165	0.2	43	2.5	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	350.6	5	165	0.8	44	2.5	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	358.1	5	90	0.2	45	3.5	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	366.6	5	120	0.8	46	2.8999999999999773	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	374.5	5	60	0.8	47	2.8000000000000114	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
grating	right	2	5	ga_dump/sub-05_task-contrast_run-02_ga_events.tsv	382.3	5	150	0.2	48	0	NaN	NaN	NA	NA	NaN	NA	NaN	NaN
