onset	duration	trial_type	contrast	orientation	run	subject	task
91.212568190007	5.000695567985531	con-0.2_ori-15	0.2	15	8	6	contrast
94.3130813180178	0.3999667089956347	dim	1	NaN	8	6	contrast
97.61338430299656	5.000611138995737	con-0.8_ori-120	0.8	120	8	6	contrast
99.11363008100307	5.000694366986863	con-0.2_ori-105	0.2	105	8	6	contrast
99.21366847999161	0.40006225602701306	dim	1	NaN	8	6	contrast
104.01434073300334	0.4000397209892981	dim	1	NaN	8	6	contrast
105.31449288700242	5.0006069320079405	con-0.2_ori-75	0.2	75	8	6	contrast
107.01462617100333	5.000779697991675	con-0.2_ori-90	0.2	90	8	6	contrast
107.2146693179966	0.39997602300718427	dim	1	NaN	8	6	contrast
109.81498985001235	0.4000150829961058	dim	1	NaN	8	6	contrast
112.31548080500215	0.40001628501340747	dim	1	NaN	8	6	contrast
113.71564611900249	5.000709990010364	con-0.2_ori-0	0.2	0	8	6	contrast
115.61590247199638	5.000699174997862	con-0.8_ori-105	0.8	105	8	6	contrast
116.61605931300437	0.4000400220102165	dim	1	NaN	8	6	contrast
120.31656667299103	0.4000457299989648	dim	1	NaN	8	6	contrast
121.91680968599394	5.00066762600909	con-0.8_ori-165	0.8	165	8	6	contrast
123.8170389989973	5.0006925640045665	con-0.8_ori-60	0.8	60	8	6	contrast
125.51726933199097	0.40005835000192747	dim	1	NaN	8	6	contrast
129.117757222004	0.4000742739881389	dim	1	NaN	8	6	contrast
129.8178562539979	5.000696470000548	con-0.2_ori-60	0.2	60	8	6	contrast
131.91816266500973	0.4000379180070013	dim	1	NaN	8	6	contrast
132.21806483500404	5.00067213200964	con-0.8_ori-75	0.8	75	8	6	contrast
135.91870379599277	0.40004302602028474	dim	1	NaN	8	6	contrast
138.21901008699206	5.00066071501351	con-0.2_ori-30	0.2	30	8	6	contrast
139.81908063500305	5.000826570001664	con-0.8_ori-45	0.8	45	8	6	contrast
141.2193985840131	0.40007217100355774	dim	1	NaN	8	6	contrast
145.62001338799018	0.40004513002349995	dim	1	NaN	8	6	contrast
145.8200445160037	5.000672132999171	con-0.2_ori-90	0.2	90	8	6	contrast
147.82031763601117	5.0006904609908815	con-0.2_ori-45	0.2	45	8	6	contrast
149.22054244100582	0.4000198910071049	dim	1	NaN	8	6	contrast
152.4209338230139	0.4000742739881389	dim	1	NaN	8	6	contrast
153.32108591601718	5.000673334987368	con-0.8_ori-105	0.8	105	8	6	contrast
155.32135512999957	5.000683249993017	con-0.2_ori-135	0.2	135	8	6	contrast
157.42166724900017	0.39997361999121495	dim	1	NaN	8	6	contrast
161.52220411400776	5.000690160988597	con-0.2_ori-90	0.2	90	8	6	contrast
162.72237946401583	0.40003911999519914	dim	1	NaN	8	6	contrast
163.6224940000102	5.000719906005543	con-0.2_ori-75	0.2	75	8	6	contrast
166.22285449301125	0.4000634579861071	dim	1	NaN	8	6	contrast
168.82321048001177	0.4000099760014564	dim	1	NaN	8	6	contrast
169.82337242900394	5.000625260989182	con-0.2_ori-15	0.2	15	8	6	contrast
171.72361826701672	0.40004663198487833	dim	1	NaN	8	6	contrast
172.02364963499713	5.000670630019158	con-0.2_ori-150	0.2	150	8	6	contrast
175.8241779670061	0.40004092300659977	dim	1	NaN	8	6	contrast
178.02444706001552	5.000672132999171	con-0.2_ori-30	0.2	30	8	6	contrast
178.7245515010145	0.40003881900338456	dim	1	NaN	8	6	contrast
180.62481356301578	5.000664320978103	con-0.8_ori-135	0.8	135	8	6	contrast
182.02499660500325	0.4000631569942925	dim	1	NaN	8	6	contrast
185.82555498200236	0.40001298001152463	dim	1	NaN	8	6	contrast
