onset	duration	orientation	contrast	side	trial	subject	response_time
93.5412467735878	4.89995172258932	15	0.8	right	12	4	n/a
93.5412467735878	4.89995172258932	75	0.8	left	12	4	n/a
96.2011521954846	0.400039914384251	n/a	n/a	middle	26	4	n/a
100.100516226143	0.400044476031326	n/a	n/a	middle	27	4	n/a
102.040841167327	4.99976887664525	0	0.2	right	13	4	n/a
102.040841167327	4.99976887664525	165	0.2	left	13	4	n/a
104.30048467475	0.399998859589687	n/a	n/a	middle	28	4	n/a
107.901133948879	0.399297886819113	n/a	n/a	middle	29	4	n/a
110.540679989208	5.40060935972724	30	0.8	left	14	4	n/a
110.540679989208	5.40060935972724	30	0.2	right	14	4	n/a
111.601168161229	0.400024708913406	n/a	n/a	middle	30	4	n/a
115.701174623566	0.399990876700031	n/a	n/a	middle	31	4	n/a
119.441301513318	4.99998137328657	0	0.2	left	15	4	n/a
119.441301513318	4.99998137328657	120	0.8	right	15	4	n/a
119.801198192057	0.39995476367767	n/a	n/a	middle	32	4	n/a
123.70119172972	0.399998099310324	n/a	n/a	middle	33	4	n/a
127.300527630257	0.400002280832268	n/a	n/a	middle	34	4	n/a
127.541277184559	5.39941496902611	135	0.8	right	16	4	n/a
127.541277184559	5.39941496902611	75	0.8	left	16	4	n/a
131.401013445429	0.399776479403954	n/a	n/a	middle	35	4	n/a
135.601181466016	0.399971869861474	n/a	n/a	middle	36	4	n/a
136.040779204981	5.20044970215531	135	0.8	right	17	4	n/a
136.040779204981	5.20044970215531	135	0.8	left	17	4	n/a
139.500530671357	0.399900404067012	n/a	n/a	middle	37	4	n/a
143.10115789753	0.39999315753812	n/a	n/a	middle	38	4	n/a
144.541262739338	5.3999855548027	90	0.2	left	18	4	n/a
144.541262739338	5.3999855548027	0	0.2	right	18	4	n/a
147.100476311753	0.400014065060532	n/a	n/a	middle	39	4	n/a
151.100546256959	0.399934616434621	n/a	n/a	middle	40	4	n/a
153.440618026856	5.00066181865986	0	0.2	left	19	4	n/a
